22:13:15 | WARNING  | TICK:0038 | Agent tank_1_1 returned error: 500
22:13:15 | WARNING  | TICK:0038 | Agent tank_1_2 returned error: 500
22:13:15 | WARNING  | TICK:0039 | Agent tank_1_1 returned error: 500
22:13:15 | WARNING  | TICK:0039 | Agent tank_1_2 returned error: 500
22:13:15 | WARNING  | TICK:0040 | Agent tank_1_1 returned error: 500
22:13:15 | WARNING  | TICK:0040 | Agent tank_1_2 returned error: 500
22:13:15 | WARNING  | TICK:0041 | Agent tank_1_1 returned error: 500
22:13:15 | WARNING  | TICK:0041 | Agent tank_1_2 returned error: 500
22:13:15 | WARNING  | TICK:0042 | Agent tank_1_1 returned error: 500
22:13:15 | WARNING  | TICK:0042 | Agent tank_1_2 returned error: 500
22:13:15 | WARNING  | TICK:0043 | Agent tank_1_1 returned error: 500
22:13:15 | WARNING  | TICK:0043 | Agent tank_1_2 returned error: 500
22:13:15 | WARNING  | TICK:0044 | Agent tank_1_1 returned error: 500
22:13:15 | WARNING  | TICK:0044 | Agent tank_1_2 returned error: 500
22:13:15 | WARNING  | TICK:0045 | Agent tank_1_1 returned error: 500
22:13:15 | WARNING  | TICK:0045 | Agent tank_1_2 returned error: 500
22:13:15 | WARNING  | TICK:0046 | Agent tank_1_1 returned error: 500
22:13:15 | WARNING  | TICK:0046 | Agent tank_1_2 returned error: 500
22:13:15 | WARNING  | TICK:0047 | Agent tank_1_1 returned error: 500
22:13:15 | WARNING  | TICK:0047 | Agent tank_1_2 returned error: 500
22:13:15 | WARNING  | TICK:0048 | Agent tank_1_1 returned error: 500
22:13:15 | WARNING  | TICK:0048 | Agent tank_1_2 returned error: 500
22:13:15 | WARNING  | TICK:0049 | Agent tank_1_1 returned error: 500
22:13:15 | WARNING  | TICK:0049 | Agent tank_1_2 returned error: 500
22:13:15 | WARNING  | TICK:0050 | Agent tank_1_1 returned error: 500
22:13:15 | WARNING  | TICK:0050 | Agent tank_1_2 returned error: 500
22:13:15 | WARNING  | TICK:0051 | Agent tank_1_1 returned error: 500
22:13:15 | WARNING  | TICK:0051 | Agent tank_1_2 returned error: 500
22:13:15 | WARNING  | TICK:0052 | Agent tank_1_1 returned error: 500
22:13:15 | WARNING  | TICK:0052 | Agent tank_1_2 returned error: 500
22:13:15 | WARNING  | TICK:0053 | Agent tank_1_1 returned error: 500
22:13:15 | WARNING  | TICK:0053 | Agent tank_1_2 returned error: 500
22:13:15 | WARNING  | TICK:0054 | Agent tank_1_1 returned error: 500
22:13:15 | WARNING  | TICK:0054 | Agent tank_1_2 returned error: 500
22:13:15 | WARNING  | TICK:0055 | Agent tank_1_1 returned error: 500
22:13:15 | WARNING  | TICK:0055 | Agent tank_1_2 returned error: 500
22:13:15 | WARNING  | TICK:0056 | Agent tank_1_1 returned error: 500
22:13:15 | WARNING  | TICK:0056 | Agent tank_1_2 returned error: 500
22:13:15 | WARNING  | TICK:0057 | Agent tank_1_1 returned error: 500
22:13:15 | WARNING  | TICK:0057 | Agent tank_1_2 returned error: 500
22:13:15 | WARNING  | TICK:0058 | Agent tank_1_1 returned error: 500
22:13:15 | WARNING  | TICK:0058 | Agent tank_1_2 returned error: 500
22:13:15 | WARNING  | TICK:0059 | Agent tank_1_1 returned error: 500
22:13:15 | WARNING  | TICK:0059 | Agent tank_1_2 returned error: 500
22:13:15 | WARNING  | TICK:0060 | Agent tank_1_1 returned error: 500
22:13:15 | WARNING  | TICK:0060 | Agent tank_1_2 returned error: 500
22:13:15 | WARNING  | TICK:0061 | Agent tank_1_1 returned error: 500
22:13:15 | WARNING  | TICK:0061 | Agent tank_1_2 returned error: 500
22:13:15 | WARNING  | TICK:0062 | Agent tank_1_1 returned error: 500
22:13:15 | WARNING  | TICK:0062 | Agent tank_1_2 returned error: 500
22:13:15 | WARNING  | TICK:0063 | Agent tank_1_1 returned error: 500
22:13:15 | WARNING  | TICK:0063 | Agent tank_1_2 returned error: 500
22:13:15 | WARNING  | TICK:0064 | Agent tank_1_1 returned error: 500
22:13:15 | WARNING  | TICK:0064 | Agent tank_1_2 returned error: 500
22:13:15 | WARNING  | TICK:0065 | Agent tank_1_1 returned error: 500
22:13:16 | WARNING  | TICK:0065 | Agent tank_1_2 returned error: 500
22:13:16 | WARNING  | TICK:0066 | Agent tank_1_1 returned error: 500
22:13:16 | WARNING  | TICK:0066 | Agent tank_1_2 returned error: 500
22:13:16 | WARNING  | TICK:0067 | Agent tank_1_1 returned error: 500
22:13:16 | WARNING  | TICK:0067 | Agent tank_1_2 returned error: 500
22:13:16 | WARNING  | TICK:0068 | Agent tank_1_1 returned error: 500
22:13:16 | WARNING  | TICK:0068 | Agent tank_1_2 returned error: 500
22:13:16 | WARNING  | TICK:0069 | Agent tank_1_1 returned error: 500
22:13:16 | WARNING  | TICK:0069 | Agent tank_1_2 returned error: 500
22:13:16 | WARNING  | TICK:0070 | Agent tank_1_1 returned error: 500
22:13:16 | WARNING  | TICK:0070 | Agent tank_1_2 returned error: 500
22:13:16 | WARNING  | TICK:0071 | Agent tank_1_1 returned error: 500
22:13:16 | WARNING  | TICK:0071 | Agent tank_1_2 returned error: 500
22:13:16 | WARNING  | TICK:0072 | Agent tank_1_1 returned error: 500
22:13:16 | WARNING  | TICK:0072 | Agent tank_1_2 returned error: 500
22:13:16 | WARNING  | TICK:0073 | Agent tank_1_1 returned error: 500
22:13:16 | WARNING  | TICK:0073 | Agent tank_1_2 returned error: 500
22:13:16 | WARNING  | TICK:0074 | Agent tank_1_1 returned error: 500
22:13:16 | WARNING  | TICK:0074 | Agent tank_1_2 returned error: 500
22:13:16 | WARNING  | TICK:0075 | Agent tank_1_1 returned error: 500
22:13:16 | WARNING  | TICK:0075 | Agent tank_1_2 returned error: 500
22:13:16 | WARNING  | TICK:0076 | Agent tank_1_1 returned error: 500
22:13:16 | WARNING  | TICK:0076 | Agent tank_1_2 returned error: 500
22:13:16 | WARNING  | TICK:0077 | Agent tank_1_1 returned error: 500
22:13:16 | WARNING  | TICK:0077 | Agent tank_1_2 returned error: 500
22:13:16 | WARNING  | TICK:0078 | Agent tank_1_1 returned error: 500
22:13:16 | WARNING  | TICK:0078 | Agent tank_1_2 returned error: 500
22:13:16 | WARNING  | TICK:0079 | Agent tank_1_1 returned error: 500
22:13:16 | WARNING  | TICK:0079 | Agent tank_1_2 returned error: 500
22:13:16 | WARNING  | TICK:0080 | Agent tank_1_1 returned error: 500
22:13:16 | WARNING  | TICK:0080 | Agent tank_1_2 returned error: 500
22:13:16 | WARNING  | TICK:0081 | Agent tank_1_1 returned error: 500
22:13:16 | WARNING  | TICK:0081 | Agent tank_1_2 returned error: 500
22:13:16 | WARNING  | TICK:0082 | Agent tank_1_1 returned error: 500
22:13:16 | WARNING  | TICK:0082 | Agent tank_1_2 returned error: 500
22:13:16 | WARNING  | TICK:0083 | Agent tank_1_1 returned error: 500
22:13:16 | WARNING  | TICK:0083 | Agent tank_1_2 returned error: 500
22:13:16 | WARNING  | TICK:0084 | Agent tank_1_1 returned error: 500
22:13:16 | WARNING  | TICK:0084 | Agent tank_1_2 returned error: 500
22:13:16 | WARNING  | TICK:0085 | Agent tank_1_1 returned error: 500
22:13:16 | WARNING  | TICK:0085 | Agent tank_1_2 returned error: 500
22:13:16 | WARNING  | TICK:0086 | Agent tank_1_1 returned error: 500
22:13:16 | WARNING  | TICK:0086 | Agent tank_1_2 returned error: 500
22:13:16 | WARNING  | TICK:0087 | Agent tank_1_1 returned error: 500
22:13:16 | WARNING  | TICK:0087 | Agent tank_1_2 returned error: 500
22:13:16 | WARNING  | TICK:0088 | Agent tank_1_1 returned error: 500
22:13:16 | WARNING  | TICK:0088 | Agent tank_1_2 returned error: 500
22:13:16 | WARNING  | TICK:0089 | Agent tank_1_1 returned error: 500
22:13:16 | WARNING  | TICK:0089 | Agent tank_1_2 returned error: 500
22:13:16 | WARNING  | TICK:0090 | Agent tank_1_1 returned error: 500
22:13:16 | WARNING  | TICK:0090 | Agent tank_1_2 returned error: 500
22:13:16 | WARNING  | TICK:0091 | Agent tank_1_1 returned error: 500
22:13:16 | WARNING  | TICK:0091 | Agent tank_1_2 returned error: 500
22:13:16 | WARNING  | TICK:0092 | Agent tank_1_1 returned error: 500
22:13:16 | WARNING  | TICK:0092 | Agent tank_1_2 returned error: 500
22:13:16 | WARNING  | TICK:0093 | Agent tank_1_1 returned error: 500
22:13:16 | WARNING  | TICK:0093 | Agent tank_1_2 returned error: 500
22:13:16 | WARNING  | TICK:0094 | Agent tank_1_1 returned error: 500
22:13:16 | WARNING  | TICK:0094 | Agent tank_1_2 returned error: 500
22:13:16 | WARNING  | TICK:0095 | Agent tank_1_1 returned error: 500
22:13:16 | WARNING  | TICK:0095 | Agent tank_1_2 returned error: 500
22:13:16 | WARNING  | TICK:0096 | Agent tank_1_1 returned error: 500
22:13:16 | WARNING  | TICK:0096 | Agent tank_1_2 returned error: 500
22:13:16 | WARNING  | TICK:0097 | Agent tank_1_1 returned error: 500
22:13:16 | WARNING  | TICK:0097 | Agent tank_1_2 returned error: 500
22:13:16 | WARNING  | TICK:0098 | Agent tank_1_1 returned error: 500
22:13:16 | WARNING  | TICK:0098 | Agent tank_1_2 returned error: 500
22:13:16 | WARNING  | TICK:0099 | Agent tank_1_1 returned error: 500
22:13:16 | WARNING  | TICK:0099 | Agent tank_1_2 returned error: 500
22:13:16 | WARNING  | TICK:0100 | Agent tank_1_1 returned error: 500
22:13:16 | WARNING  | TICK:0100 | Agent tank_1_2 returned error: 500
22:13:16 | WARNING  | TICK:0101 | Agent tank_1_1 returned error: 500
22:13:16 | WARNING  | TICK:0101 | Agent tank_1_2 returned error: 500
22:13:16 | WARNING  | TICK:0102 | Agent tank_1_1 returned error: 500
22:13:16 | WARNING  | TICK:0102 | Agent tank_1_2 returned error: 500
22:13:17 | WARNING  | TICK:0103 | Agent tank_1_1 returned error: 500
22:13:17 | WARNING  | TICK:0103 | Agent tank_1_2 returned error: 500
22:13:17 | WARNING  | TICK:0104 | Agent tank_1_1 returned error: 500
22:13:17 | WARNING  | TICK:0104 | Agent tank_1_2 returned error: 500
22:13:17 | WARNING  | TICK:0105 | Agent tank_1_1 returned error: 500
22:13:17 | WARNING  | TICK:0105 | Agent tank_1_2 returned error: 500
22:13:17 | WARNING  | TICK:0106 | Agent tank_1_1 returned error: 500
22:13:17 | WARNING  | TICK:0106 | Agent tank_1_2 returned error: 500
22:13:17 | WARNING  | TICK:0107 | Agent tank_1_1 returned error: 500
22:13:17 | WARNING  | TICK:0107 | Agent tank_1_2 returned error: 500
22:13:17 | WARNING  | TICK:0108 | Agent tank_1_1 returned error: 500
22:13:17 | WARNING  | TICK:0108 | Agent tank_1_2 returned error: 500
22:13:17 | WARNING  | TICK:0109 | Agent tank_1_1 returned error: 500
22:13:17 | WARNING  | TICK:0109 | Agent tank_1_2 returned error: 500
22:13:17 | WARNING  | TICK:0110 | Agent tank_1_1 returned error: 500
22:13:17 | WARNING  | TICK:0110 | Agent tank_1_2 returned error: 500
22:13:17 | WARNING  | TICK:0111 | Agent tank_1_1 returned error: 500
22:13:17 | WARNING  | TICK:0111 | Agent tank_1_2 returned error: 500
22:13:17 | WARNING  | TICK:0112 | Agent tank_1_1 returned error: 500
22:13:17 | WARNING  | TICK:0112 | Agent tank_1_2 returned error: 500
22:13:17 | WARNING  | TICK:0113 | Agent tank_1_1 returned error: 500
22:13:17 | WARNING  | TICK:0113 | Agent tank_1_2 returned error: 500
22:13:17 | WARNING  | TICK:0114 | Agent tank_1_1 returned error: 500
22:13:17 | WARNING  | TICK:0114 | Agent tank_1_2 returned error: 500
22:13:17 | WARNING  | TICK:0115 | Agent tank_1_1 returned error: 500
22:13:17 | WARNING  | TICK:0115 | Agent tank_1_2 returned error: 500
22:13:17 | WARNING  | TICK:0116 | Agent tank_1_1 returned error: 500
22:13:17 | WARNING  | TICK:0116 | Agent tank_1_2 returned error: 500
22:13:17 | WARNING  | TICK:0117 | Agent tank_1_1 returned error: 500
22:13:17 | WARNING  | TICK:0117 | Agent tank_1_2 returned error: 500
