14:27:21 | DEBUG    | TICK:0010 | Team 1 has 5 tanks alive
14:27:21 | DEBUG    | TICK:0010 | Team 2 has 5 tanks alive
14:27:21 | DEBUG    | TICK:0010 | Team 1 has 5 tanks alive
14:27:21 | DEBUG    | TICK:0010 | Team 2 has 5 tanks alive
14:27:21 | DEBUG    | TICK:0011 | Tick 11 started
14:27:21 | DEBUG    | TICK:0011 | Team 1 has 5 tanks alive
14:27:21 | DEBUG    | TICK:0011 | Team 2 has 5 tanks alive
14:27:21 | DEBUG    | TICK:0011 | Team 1 has 5 tanks alive
14:27:21 | DEBUG    | TICK:0011 | Team 2 has 5 tanks alive
14:27:21 | DEBUG    | TICK:0012 | Tick 12 started
14:27:21 | DEBUG    | TICK:0012 | Team 1 has 5 tanks alive
14:27:21 | DEBUG    | TICK:0012 | Team 2 has 5 tanks alive
14:27:21 | DEBUG    | TICK:0012 | Team 1 has 5 tanks alive
14:27:21 | DEBUG    | TICK:0012 | Team 2 has 5 tanks alive
14:27:21 | DEBUG    | TICK:0013 | Tick 13 started
14:27:21 | DEBUG    | TICK:0013 | Team 1 has 5 tanks alive
14:27:21 | DEBUG    | TICK:0013 | Team 2 has 5 tanks alive
14:27:21 | DEBUG    | TICK:0013 | Team 1 has 5 tanks alive
14:27:21 | DEBUG    | TICK:0013 | Team 2 has 5 tanks alive
14:27:21 | DEBUG    | TICK:0014 | Tick 14 started
14:27:21 | DEBUG    | TICK:0014 | Team 1 has 5 tanks alive
14:27:21 | DEBUG    | TICK:0014 | Team 2 has 5 tanks alive
14:27:21 | DEBUG    | TICK:0014 | Team 1 has 5 tanks alive
14:27:21 | DEBUG    | TICK:0014 | Team 2 has 5 tanks alive
14:27:21 | DEBUG    | TICK:0015 | Tick 15 started
14:27:21 | DEBUG    | TICK:0015 | Team 1 has 5 tanks alive
14:27:21 | DEBUG    | TICK:0015 | Team 2 has 5 tanks alive
14:27:21 | DEBUG    | TICK:0015 | Team 1 has 5 tanks alive
14:27:21 | DEBUG    | TICK:0015 | Team 2 has 5 tanks alive
14:27:21 | DEBUG    | TICK:0016 | Tick 16 started
14:27:21 | DEBUG    | TICK:0016 | Team 1 has 5 tanks alive
14:27:21 | DEBUG    | TICK:0016 | Team 2 has 5 tanks alive
14:27:21 | DEBUG    | TICK:0016 | Team 1 has 5 tanks alive
14:27:21 | DEBUG    | TICK:0016 | Team 2 has 5 tanks alive
14:27:21 | DEBUG    | TICK:0017 | Tick 17 started
14:27:21 | DEBUG    | TICK:0017 | Team 1 has 5 tanks alive
14:27:21 | DEBUG    | TICK:0017 | Team 2 has 5 tanks alive
14:27:21 | DEBUG    | TICK:0017 | Team 1 has 5 tanks alive
14:27:21 | DEBUG    | TICK:0017 | Team 2 has 5 tanks alive
14:27:21 | DEBUG    | TICK:0018 | Tick 18 started
14:27:21 | DEBUG    | TICK:0018 | Team 1 has 5 tanks alive
14:27:21 | DEBUG    | TICK:0018 | Team 2 has 5 tanks alive
14:27:21 | DEBUG    | TICK:0018 | Team 1 has 5 tanks alive
14:27:21 | DEBUG    | TICK:0018 | Team 2 has 5 tanks alive
14:27:21 | DEBUG    | TICK:0019 | Tick 19 started
14:27:22 | DEBUG    | TICK:0019 | Team 1 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0019 | Team 2 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0019 | Team 1 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0019 | Team 2 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0020 | Tick 20 started
14:27:22 | DEBUG    | TICK:0020 | Team 1 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0020 | Team 2 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0020 | Team 1 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0020 | Team 2 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0021 | Tick 21 started
14:27:22 | DEBUG    | TICK:0021 | Team 1 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0021 | Team 2 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0021 | Team 1 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0021 | Team 2 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0022 | Tick 22 started
14:27:22 | DEBUG    | TICK:0022 | Team 1 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0022 | Team 2 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0022 | Team 1 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0022 | Team 2 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0023 | Tick 23 started
14:27:22 | DEBUG    | TICK:0023 | Team 1 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0023 | Team 2 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0023 | Team 1 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0023 | Team 2 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0024 | Tick 24 started
14:27:22 | DEBUG    | TICK:0024 | Team 1 has 5 tanks alive
